Player,#,Class,Pos,Height,Weight,Hometown,RSCI Top 100,Season,Ranked,PPG,RPG,APG,Height_cm,International,State
Kyle Kuric,14,SR,G,6-4,195,Evansville IN,Unranked,2011-12,No,12.6,4.2,1.2,193.0,No,IN
Russ Smith,2,SO,G,6-0,165,Brooklyn NY,Unranked,2011-12,No,11.5,2.5,1.9,182.9,No,NY
Chris Smith,5,SR,G,6-2,195,Millstone NJ,Unranked,2011-12,No,9.7,3.6,1.9,188.0,No,NJ
Chane Behanan,21,FR,F,6-6,250,Cincinnati OH,24,2011-12,Yes,9.5,7.5,0.8,198.1,No,OH
Gorgui Dieng,10,SO,C,6-11,245,"Kébémer, Senegal",69,2011-12,Yes,9.1,9.1,1.1,210.8,Yes,International
Peyton Siva,3,JR,G,6-0,185,Seattle WA,27,2011-12,Yes,9.1,3.2,5.6,182.9,No,WA
Jared Swopshire,12,JR,F,6-8,210,St. Louis MO,Unranked,2011-12,No,3.3,2.8,0.4,203.2,No,MO
Rakeem Buckles,5,JR,F,6-7,215,Miami FL,54,2011-12,Yes,4.0,3.8,0.3,200.7,No,FL
Wayne Blackshear,25,FR,G,6-5,215,Chicago IL,26,2011-12,Yes,2.5,1.4,0.1,195.6,No,IL
Angel Nunez,2,FR,F,6-8,202,Washington Heights NY,Unranked,2011-12,No,2.0,0.7,0.2,203.2,No,NY
Elisha Justice,22,SO,F,5-10,175,Pikeville KY,Unranked,2011-12,No,0.9,0.4,0.4,177.8,No,KY
Kevin Ware,0,FR,G,6-2,170,Conyers GA,74,2011-12,Yes,1.0,0.7,0.5,188.0,No,GA
Tim Henderson,15,SO,G,6-2,195,Louisville KY,Unranked,2011-12,No,1.3,0.8,0.5,188.0,No,KY
Mike Marra,33,JR,G,6-5,215,Smithfield RI,Unranked,2011-12,No,6.0,2.5,1.0,195.6,No,RI
Zach Price,21,FR,C,6-10,250,Louisville KY,58,2011-12,Yes,0.6,0.8,0.0,208.3,No,KY
Mark Jackson,11,FR,G,6-3,210,Brooklyn CA,Unranked,2011-12,No,1.7,1.0,0.0,190.5,No,CA
Stephan Van Treese,44,JR,F,6-9,245,Indianapolis IN,Unranked,2011-12,No,1.3,2.0,0.0,205.7,No,IN
Luke Hancock,11,JR,F,6-6,200,Roanoke VA,Unranked,2012-13,No,8.1,2.6,1.4,198.1,No,VA
Montrezl Harrell,24,FR,F,6-8,235,Tarboro NC,85,2012-13,Yes,5.7,3.6,0.2,203.2,No,NC
Michael Baffour,32,JR,G,6-2,170,Lexington KY,Unranked,2012-13,No,0.3,0.2,0.0,188.0,No,KY
Logan Baumann,14,FR,G,6-0,165,Hartford KY,Unranked,2012-13,No,0.5,0.8,0.0,182.9,No,KY
Jordan Bond,22,FR,G,6-0,165,Raleigh NC,Unranked,2012-13,No,0.0,0.6,0.2,182.9,No,NC
Chris Jones,3,JR,F,5-10,175,Memphis TN,Unranked,2013-14,No,10.2,2.3,2.9,177.8,No,TN
Terry Rozier,0,FR,G,6-1,190,Youngstown OH,75,2013-14,Yes,7.0,3.1,1.8,185.4,No,OH
Mangok Mathiang,12,FR,F,6-10,220,Melbourne Australia,Unranked,2013-14,No,3.6,3.6,0.4,208.3,Yes,International
Anton Gill,1,FR,G,6-8,195,Raleigh NC,50,2013-14,Yes,1.4,0.7,0.2,203.2,No,NC
Akoy Agau,22,FR,F,6-8,240,Juba South Sudan,88,2013-14,Yes,0.9,1.1,0.1,203.2,Yes,International
David Levitch,23,FR,G,6-3,180,Goshen KY,Unranked,2013-14,No,0.9,0.3,0.2,190.5,No,KY
Quentin Snider,2,FR,G,6-2,180,Louisville KY,37,2014-15,Yes,4.1,1.6,1.3,188.0,No,KY
Chinanu Onuaku,32,FR,F,6-10,230,Lanham MD,64,2014-15,Yes,3.0,4.6,0.5,208.3,No,MD
Anas Mahmoud,14,FR,F,7-0,200,Cairo Egypt,Unranked,2014-15,No,1.2,1.4,0.4,213.4,Yes,International
Shaqquan Aaron,3,FR,G,6-7,195,Los Angeles CA,25,2014-15,Yes,1.3,0.7,0.2,200.7,No,CA
Jaylen Johnson,10,FR,F,6-9,215,Ypsilanti MI,67,2014-15,Yes,1.3,1.3,0.1,205.7,No,MI
Trent Gilbert,15,FR,G,5-10,180,Georgetown KY,Unranked,2014-15,No,1.5,0.5,0.5,177.8,No,KY
Dillon Avare,4,FR,G,6-0,150,Lexington KY,Unranked,2014-15,No,0.5,0.5,0.0,182.9,No,KY
Matz Stockman,5,FR,C,7-0,245,Oslo Norway,Unranked,2014-15,No,1.0,2.8,0.3,213.4,Yes,International
